Meal,Serving Size (g),Ingredient,Weight (g),Ingredients #,Meal Type
Ugali (Maize porridge),350,Low-protein flour,320,2,BS
,,Water,30,,
Plantain Fufu,350,Plantains,320,2,LD
,,Water,30,,
Cassava Fufu,350,Low-protein flour,320,2,LD
,,Water,30,,
Matoke (boiled green Bananas),350,Green Bananas,320,1,BS
,,Water,30,,
Sweet Potato Porridge,350,Sweet potatoes,320,1,BS
,,Water,30,,
Boiled Cassava,300,Cassava root,280,1,BS
,,Salt,20,,
Boiled Plantains,300,Plantains,280,1,BS
,,Salt,20,,
Roasted Corn,250,Corn,230,1,BS
,,Salt,20,,
Steamed Vegetables,300,Mixed vegetables,270,4,LD
,,Olive oil,30,,
Kachumbari (fresh salad),250,Tomatoes,120,4,BS
,,Onions,50,,
,,Cilantro,40,,
,,Lemon juice,40,,
Avocado Salad,250,Avocado,200,3,BS
,,Tomato,30,,
,,Onion,20,,
Okra Stew (without meat),350,Okra,250,4,LD
,,Tomatoes,50,,
,,Onion,30,,
,,Palm oil,20,,
Pumpkin Leaves Stew,350,Pumpkin leaves,250,4,LD
,,Tomatoes,50,,
,,Onion,30,,
,,Palm oil,20,,
Baobab Leaf Stew ,350,Baobab leaves,250,3,LD
,,Tomato,50,,
,,Onion,50,,
Coconut Rice,350,Rice,250,3,LD
,,Coconut milk,70,,
,,Water,30,,
Fried Plantains,300,Plantains,270,2,LD
,,Oil,30,,
Sweet Potato Chips,200,Sweet potatoes,180,2,BS
,,Oil,20,,
Boiled Yam,300,Yam,280,1,BS
,,Salt,20,,
Boiled Sweet Potatoes,300,Sweet potatoes,280,1,BS
,,Salt,20,,
Baked Plantains,300,Plantains,280,2,LD
,,Oil,20,,
Boiled Cassava Leaves,350,Cassava leaves,300,2,LD
,,Oil,50,,
Tomato and Cucumber Salad,250,Tomatoes,120,3,LD
,,Cucumbers,100,,
,,Lemon juice,30,,
Steamed Okra,300,Okra,270,2,LD
,,Olive oil,30,,
Pumpkin Porridge,350,Pumpkin,320,2,LD
,,Water,30,,
Fried Cassava,300,Cassava,270,2,LD
,,Oil,30,,
Vegetable Stir Fry,350,Mixed vegetables,320,4,LD
,,Oil,30,,
Garden Egg Stew (without meat),350,Eggs,300,4,LD
,,Tomatoes,30,,
,,Onion,20,,
,,Oil,30,,
Okra and Tomato Salad,250,Okra,150,3,LD
,,Tomatoes,70,,
,,Olive oil,30,,
Fried Sweet Potato Balls,200,Sweet potatoes,180,2,BS
,,Oil,20,,
Boiled Green Bananas,300,Green Bananas,280,1,LD
,,Salt,20,,
Millet Couscous,350,Millet flour,320,2,LD
,,Water,30,,
Roasted Pumpkin,300,Pumpkin,270,2,LD
,,Oil,30,,
Boiled Taro,300,Taro root,280,1,LD
,,Salt,20,,
Grilled Plantains,300,Plantains,280,2,LD
,,Oil,20,,
Roasted Sweet Potatoes,300,Sweet potatoes,270,2,LD
,,Oil,30,,
Boiled Pumpkin Leaves,350,Pumpkin leaves,300,2,LD
,,Oil,50,,
,,Olive oil,30,,
Fried Sweet Potato Chips,200,Sweet potatoes,180,2,BS
,,Oil,20,,
Yam Porridge,350,Yam,320,2,LD
,,Water,30,,
Baobab Fruit Drink,300,Baobab fruit powder,50,2,BS
,,Water,250,,
