Meal,Serving Size (g),Ingredient,Grams,Number Of Ingredient,Meal Type,,
Stuffed Bell Peppers with White Rice,883.1,Red Bell Peppers,300,11,LD,,
,,White Rice,95,,,,Ingredients match
,,"onions, raw",110,,,,Format
,,Garlic,6,,,,Numbers
,,Vegetable Broth,360,,,,"Sorting by breakfast/snack, lunch/dinner"
,,Curry Powder,1,,,,
,,Cinnamon,2.6,,,,
,,Sage (dried),0.3,,,,
,,Cloves,0.2,,,,
,,Salt and Pepper,5,,,,
,,Parsley,3,,,,
,,,,,,,
Vegan Borscht,1992.5,Olive Oil,27,13,LD,,
,,Red red beets,375,,,,
,,Carrots,120,,,,
,,"onions, raw",100,,,,
,,Garlic,6,,,,
,,Vegetable Broth,950,,,,
,,Tomato Paste,30,,,,
,,Green Cabbage,150,,,,
,,Potatoes,200,,,,
,,Lemon Juice,22.5,,,,
,,Fresh fresh dill,4,,,,
,,Salt and Pepper,5,,,,
,,chives,3,,,,
,,,,,,,
Korean Style Carrot Salad,983.3,Carrots,825,7,LD,,
,,Garlic,18,,,,
,,Balsamic Vinegar,80,,,,
,,Salt and Pepper,4,,,,
,,Paprika,1,,,,
,,Cayenne,0.3,,,,
,,Avocado Oil,55,,,,
,,,,,,,
Braised Cabbage with White Rice,2302,Olive Oil,27,8,LD,,
,,"onions, raw",150,,,,
,,Tomato puree,340,,,,
,,Green Cabbage,1000,,,,
,,White Rice,25,,,,
,,Salt and Pepper,6,,,,
,,Red Bell Peppers,4,,,,
,,Vegetable Broth,750,,,,
,,,,,,,
Veggie-Stuffed Potato Cakes Dough Base,901,Potatoes,600,6,LD,,
,,vegan butter,150,,,,
,,Salt,5,,,,
,,Flour,100,,,,
,,White Pepper,1,,,,
,,Olive Oil,45,,,,
,,,,,,,
Veggie-Stuffed Potato Cakes Mushroom Filling,523,Portobello Mushrooms,300,4,LD,,
,,"onions, raws",200,,,,
,,Garlic,18,,,,
,,Salt and Pepper,5,,,,
,,,,,,,
,,,,,,,
Veggie-Stuffed Potato Cakes Satsibeli Sauce,345.5,Tomatoes,250,8,LD,,
,,"onions, raw",50,,,,
,,Garlic,6,,,,
,,Coriander,5,,,,
,,Vinegar/oil dressing,15,,,,
,,Chili Sauce,15,,,,
,,Sugar,2,,,,
,,Salt,2.5,,,,
,,,,,,,
,,,,,,,
Baked Apples,1018.4,Granny Smith Golden Apples,800,9,BS,,
,,Lemon Juice ,10,,,,
,,vegan butter,40,,,,
,,"Raisins, seedless",50,,,,
,,Water,30,,,,
,,Honey,85,,,,
