Meal,Serving Size (g),Ingredient,Weight (g),Ingredients #,Meal Type
Tomato Rasam,150,"Tomato, fresh juice",50,5,LD
,,Garlic,2,,
,,Tamarind paste,5,,
,,Black pepper,1,,
,,Water,92,,
Vegetable Stew,180,"Potatoes, boiled",60,5,LD
,,Carrots,40,,
,,Green beans,30,,
,,Coconut cream,30,,
,,Raw Ginger (Fresh),2,,
Sambar ,150,"Eggplant, cooked",30,5,LD
,,"Tomatoes, cooked",30,,
,,"Onion, raw",20,,
,,Tamarind paste ,5,,
,,Water,65,5,LD
Masala Dosa ,150,"Potatoes, boiled",70,,
,,Onions,40,,
,,Mustard,3,,
,,Turmeric,2,,
,,Green chili,5,,
Dosa Base,120,Cream of Rice,60,3,LD
,,Water,60,,
,,Salt,<1,,
Lemon Rice,150,"Rice, long-grain",50,5,LD
,,Lemon juice,10,,
,,Mustard,5,,
,,Curry leaves,2,,
,,Turmeric,2,,
Upma,200,Cream of Wheat regular,60,5,LD
,,Green bell pepper,30,,
,,Onions,20,,
,,Raw Ginger (Fresh),2,,
,,Mustard,3,,
Coconut Chutney,50,Coconut cream,25,4,LD
,,Green chili ,5,,
,,Raw Ginger (Fresh),3,,
,,Water,17,,
Vegetable Kurma,150,"Potatoes, boiled",50,5,LD
,,"Carrots, cooked",40,,
,,Green beans,30,,
,,Coconut cream,30,,
,,Turmeric,1,,
Aloo Tamatar Curry,180,Potatoes,100,4,LD
,,Tomato,40,,
,,Garlic,3,,
,,Cumin,2,,
Bhindi Masala,150,Okra,100,5,LD
,,Tomato,30,,
,,Onions,10,,
,,Garlic,5,,
,,Mustard,5,,
Baingan Bharta,180,Eggplant,120,5,LD
,,Tomato,30,,
,,Onions,15,,
,,Garlic,10,,
,,Cilantro,5,,
Jeera Aloo,150,Potatoes,90,3,BS
,,Garlic,5,,
,,Cumin,2,,
Tinda Sabzi,160,Zucchini,100,4,LD
,,Tomato,30,,
,,Garlic,5,,
,,Mustard,5,,
Gajar Matar,140,Carrots,80,4,LD
,,Peas,40,,
,,Garlic,5,,
,,Cumin,2,,
Kachumber Salad,100,Cucumber,60,3,BS
,,Tomato,30,,
,,Onions,10,,
Lauki Sabzi,160,Zucchini,100,4,LD
,,Tomato,40,,
,,Garlic,5,,
,,Cumin,2,,
Tamarind Potatoes,180,Potatoes,100,5,LD
,,Tamarind,10,,
,,Garlic,5,,
,,Cumin,2,,
,,Mustard,3,,
Aloo Capsicum,170,Potatoes,90,4,LD
,,Green bell peppers,60,,
,,Onions,10,,
,,Cumin,2,,
Beetroot Curry,160,Beet root,100,4,LD
,,Tomato,30,,
,,Cumin,2,,
,,Garlic,5,,
Aloo Methi,150,Potatoes,90,5,LD
,,Cilantro,10,,
,,Garlic,5,,
,,Cumin,2,,
,,Mustard,3,,
Aloo Baingan,170,Potatoes,80,5,LD
,,Eggplant,60,,
,,Tomato,20,,
,,Garlic,5,,
,,Cumin,2,,
Simple Dahi Chawal,250,Rice,150,2,LD
,,Yogurt,100,,
Bhindi Stir Fry,220,Okra,150,4,LD
,,Mustard Seeds,5,,
,,Oil,40,,
,,Turmeric,25,,
Vegetable Pulao,300,Basmati Rice (Cooked),150,5,LD
,,Peas,50,,
,,Carrot,50,,
,,Onion,30,,
,,Oil,20,,
Dal-Free Rasam,250,Tomato,100,4,LD
,,Tamarind Paste,20,,
,,Spices (Rasam Powder),30,,
,,Water,100,,
Chana-Free Chaat,200,Boiled Potato,120,4,LD
,,Onion,40,,
,,Tamarind Chutney,30,,
,,Sev (Low Protein),10,,
Coconut Rice,250,Cooked Rice,160,3,LD
,,Fresh Grated Coconut,50,,
,,Oil,40,,
Cucumber Raita,180,Yogurt,100,3,LD
,,Cucumber,50,,
,,Cumin Powder,30,,
