Meal,Serving Size (g),Ingredient,Weight (g),Ingredients #,Meal Type
Potato Salad,913,Potatoes,680,6,LD
,,"onions, raws, raw",75,,
,,Vinegar/oil dressing,51,,
,,Vegetable broth,100,,
,,Parsley,3,,
,,Salt and Pepper,4,,
,,,,,
,,,,,
Vegetable Stew,1206,Grapeseed Oil,28,9,LD
,,Lard,26,,
,,Paprika,14,,
,,Water,79,,
,,Rice,93,,
,,"onions, raws, raw",150,,
,,Green Bell Peppers,450,,
,,Tomato,360,,
,,Salt and Pepper,6,,
,,,,,
,,,,,
Asparagus with Potatoes,1443,Asparagus raw,600,6,LD
,,Unsalted Butter,5,,
,,Potatoes,750,,
,,Olive Oil,2,,
,,Salt and Pepper,6,,
,,"onions, raws, raw",80,,
,,,,,
,,,,,
Potato goulash,1133.2,Potatoes,700,7,LD
,,"onions, raws, raw",150,,
,,Paprika,4.2,,
,,Cumin,1,,
,,Tomato Puree,30,,
,,Vegetable Broth,240,,
,,Baker's yeast,8,,
,,,,,
Vegetable Soup,1602.2,Vegetable Broth,950,13,LD
,,Raw raw turnips,150,,
,,Leek,90,,
,,Carrots,120,,
,,"celery, raw, raw",40,,
,,Garlic,3,,
,,"Shallots, chopped",30,,
,,Potatoes,200,,
,,Olive Oil,13.5,,
,,Dried Oregano,0.5,,
,,Salt and Pepper,1,,
,,Bay Leaf,0.2,,
,,Parsley,4,,
,,,,,
Carrot and apples Salad,780,Carrots,400,6,BS
,,apples,300,,
,,Lemon Juice,30,,
,,Olive Oil,30,,
,,Salt,5,,
,,Sugar (table),15,,
,,,,,
Braised Red Cabbage,927,"Red Cabbage, raw",500,7,LD
,,apples,200,,
,,Vinegar/oil dressing,80,,
,,Olive Oil,60,,
,,Sugar (table),80,,
,,Salt,5,,
,,Caraway Seeds,2,,
,,,,,
cucumber fresh dill Salad,720,cucumber,500,5,LD
,,fresh dill,10,,
,,Vinegar/oil dressing,80,,
,,Salt,5,,
,,Olive Oil,125,,
,,,,,
