Ingredient,Serving Size (g),PHE(mg),TYR(mg),Protein(g),Energy(kcal)
"Animal crackers, cinnamon graham",10,29,10,0.6,45
Apple cinnamon cookies,10,31,12,0.8,43
Banana cookies,10,30,11,0.7,43
Strawberry fruit bars,12,31,12,0.6,49
Veggie crackers,7,30,10,0.6,33
Barley,4,28,15,0.5,15
Mixed,6,30,15,0.6,23
Oatmeal,3,27,14,0.4,12
Oatmeal/banana,4,27,17,0.4,16
Oatmeal/mixed fruit,6,32,17,0.6,25
Rice,6,28,16,0.5,23
Rice/apples,11,30,21,0.6,43
Rice/apple bits,8,29,15,0.6,32
Rice/bananas,9,30,19,0.6,35
Rice/mixed fruit,9,31,23,0.6,35
Oatmeal,34,30,20,0.6,19
Mixed/applesauce/bananas,57,30,15,0.6,49
Oatmeal/applesauce/bananas,42,30,13,0.5,35
Rice/applesauce,57,30,15,0.4,52
Mixed/apples/banans,54,30,16,0.6,41
Oatmeal/apples/cinnamon,53,30,16,0.6,36
Greenbeans/potatoes,26,30,23,0.6,16
Spring garden vegetables,60,30,18,0.9,21
Peas,24,30,19,0.7,12
Potatoes,75,30,25,0.8,35
Sweet Potatoes,45,30,12,0.5,29
Creamed corn,31,30,20,0.6,19
Creamed spinach,20,30,23,0.6,9
Garden vegetables,30,30,18,0.4,11
Peas,24,30,19,0.7,12
Peas/rice,23,30,15,0.2,12
Mixed fruit juice,125,15,6,0.3,60
Pear juice,202,15,4,0.6,99
Bananas,47,15,8,0.5,47
Pears,68,15,4,0.3,39
Prunes,58,15,5,0.6,58
Applesauce/apricot,100,15,6,0.3,52
Apricot/mixed fruit,75,15,7,0.4,45
Bananas/apples/pears,43,15,5,0.4,36
Banana/pineapple,43,15,6,0.4,32
Banana/strawberry,60,15,8,0.6,54
"Hawaiian delight dessert, 2nd Foods",24,15,9,0.3,20
"Hawaiian delight dessert, 3rd Foods",21,15,8,0.3,18
"Peach cobbler dessert, 2nd Foods",136,15,7,0.7,103
"Peach cobbler dessert, 3rd Foods",125,14,4,0.6,54
"Peaches, 2nd Foods",88,15,9,0.6,56
"Peaches, 3rd Foods",83,15,7,0.6,53
Pear/pineapple,71,15,4,0.3,39
Pears,88,15,8,0.4,65
"Plums/apples, 2nd Foods",94,15,5,0.4,66
"Plums/apples, 3rd Foods",71,15,4,0.3,49
Prunes/apples,71,15,6,0.4,55
Apples ,136,15,4,0.3,65
Mixed Fruit,115,15,6,0.3,56
Peaches,94,15,6,0.5,46
Apple/carrot,214,15,11,0.2,89
Apple/sweet potato,125,15,9,0.4,62
Apple/sweet potato,125,15,8,0.3,72
Banana/oatmeal/peach,27,15,6,0.3,20
Pear/wild blueberry,100,15,5,0.4,61
Pears/winter squash,25,15,6,0.3,13
Tropical fruit blend,68,15,7,0.4,50
Green beans,23,15,9,0.4,9
Squash,50,15,14,0.4,17
Carrots,75,15,10,0.6,22
Mixed Vegetables,27,15,11,0.3,11
Green beans/rice,28,15,11,0.3,12
Butternut squash/corn,25,15,10,0.5,12
Garden carrots/brown rice,47,15,9,0.4,20
Green beans,28,15,12,0.3,7
Apple juice,218,5,5,0.2,109
Apple/banana juice,93,5,4,0.2,50
Apple/cherry juice,124,5,3,0.3,62
Apple/cranberry juice,93,5,4,0.2,46
Apple/grape juice,218,5,5,0.2,112
Apple/prune juice,124,5,4,0.3,69
Fruit medley tropical fruit dessert,100,5,2,0.2,64
Guava tropical fruit dessert,83,5,2,0.1,58
Mango/banana/passion fruit juice,57,6,3,0.1,34
Mango tropical fruit dessert,50,5,3,0.1,43
Mixed fruit juice,163,5,2,0.5,80
Orange juice,100,7,3,0.6,47
Papaya tropical fruit dessert,83,5,2,0.2,53
Peach/mango dessert,78,5,3,0.2,47
Applesauce,86,5,3,0.2,48
Apple/blueberry,83,5,3,0.2,42
Fruit salad,50,5,3,0.2,32
Berry punch,218,5,5,0.2,111
Fruit punch,218,5,5,0.2,113
Apple/mango/kiwi,100,5,3,0.1,60
Apple/strawberry,100,5,3,0.1,60
Corn grits instant cheese flavor,36,36,29,0.7,27
Corn grits instant plain,34,27,22,0.5,20
"Corn grits regular, quick (plain)",45,33,28,0.6,28
Cream of Rice,81,30,40,0.7,42
Cream of Wheat instant,30,30,18,0.6,19
Cream of Wheat Mix'n Eat flavored,38,33,20,0.6,33
Cream of Wheat Mix'n Eat plain,36,37,22,0.7,26
Cream of Wheat quick,30,25,14,0.4,16
Cream of Wheat regular,30,30,18,0.5,19
Farina,44,34,20,0.6,22
Maltax,31,33,19,0.7,22
Malt-o-Meal,35,29,16,0.5,18
Maypo Oat,30,34,20,0.7,21
"Oats, regular, quick, and instant",20,28,18,0.5,12
Pettijohns,30,24,14,0.5,20
Ralston,32,32,19,0.7,17
Roman Meal,22,31,22,0.6,14
Wheatena,30,29,17,0.6,22
Whole Wheat Hot Natural,30,29,17,0.6,19
All Bran,5,29,22,0.8,13
Alpha-Bits,7,29,20,0.5,28
Apple Jacks,9,26,18,0.5,36
100% Bran,6,30,22,0.8,17
Bran Buds,5,28,21,0.7,14
Bran Chex,6,29,23,0.6,20
Cap'n Crunch,12,33,25,0.6,51
Cap'n Crunch's Crunch Berries,12,32,25,0.6,49
Cap'n Crunch's Peanut Butter,9,33,27,0.6,38
Cheerios,4,35,23,0.6,17
Chinnamon Toast Crunch,19,30,18,0.7,80
Cocoa Krispies,12,27,34,0.6,46
Cocoa Pebbles,16,33,42,0.8,66
Cocoa  Puffs,19,31,26,0.7,73
Cookie Crisp,10,26,19,0.5,39
Corn Bran,9,32,24,0.6,31
Corn Chex,7,26,22,0.5,28
Corn Flakes,7,31,26,0.6,29
Crisp Rice,9,26,34,0.6,37
Crispy Wheat 'n Raisins,11,35,21,0.7,37
C W Post plain,6,29,21,0.5,27
C W Post with raisins,7,29,21,0.6,28
Fortified Oat Flakes,3,29,21,0.6,11
40% Bran Flakes,6,30,20,0.7,19
Froot Loops,9,29,20,0.6,37
Frosted Mini-Wheats®,8,38,22,0.8,28
Frosted Rice Krinkles®,16,34,44,0.8,62
Frosted Rice Krispies®,14,28,37,0.6,54
Fruit Wheat Squares,10,32,19,0.7,35
Fruity Pebbles®,16,28,37,0.6,66
Golden Grahams,10,28,22,0.5,38
Grape Nuts Flakes®,6,33,20,0.7,22
Honey Nut Cheerios®,5,27,18,0.5,18
Honey Nut Corn Flakes®,9,31,25,0.6,38
Honeycomb®,11,33,26,0.6,43
King Vitaman®,11,29,23,0.5,43
Kix®,6,29,23,0.6,24
Life®,3,28,20,0.5,10
Lucky Charms®,6,30,20,0.5,23
Nutrigrain Barley,5,31,19,0.6,19
Nutrigrain Corn,8,32,27,0.6,30
Nutrigrain Rye,8,31,21,0.7,27
Wheat,5,25,15,0.5,20
Oat Flakes,3,29,21,0.6,11
Product 19®,6,31,23,0.6,24
Quisp®,11,30,23,0.6,47
Raisin Bran (Post®),7,26,17,0.7,22
Rice Chex®,13,29,38,0.7,50
Rice Krispies®,9,27,36,0.6,37
"Rice, puffed",10,28,37,0.7,42
Special K,4,31,34,0.7,14
Sugar Frosted Flakes,12,30,25,0.6,44
Sugar Pops,11,29,24,0.6,43
Sugar Smacks,9,34,20,0.7,35
Sugar Sparkled Flakes,13,35,29,0.7,64
Super Sugar Crisp,8,28,16,0.5,31
Team,11,32,31,0.7,41
Toasties (Post),7,29,24,0.6,27
Total,6,30,18,0.6,22
Trix,9,27,21,0.5,35
puffed,4,30,17,0.6,14
shredded,5,28,17,0.6,19
Wheat Chex,6,30,17,0.6,21
Wheaties,7,33,20,0.7,25
Corn,21,30,25,0.6,19
cream style,32,26,21,0.6,23
whole kernel,20,32,26,0.7,22
"brown,",25,32,24,0.6,27
cakes,9,34,45,0.8,35
fried,23,30,23,0.7,30
pilaf,15,30,20,0.6,23
Rice-A-Roni,21,28,20,0.7,26
Spanish,30,26,21,0.5,26
long-grain,26,36,23,0.7,33
"long-grain, instant",31,34,21,0.6,30
medium- and short-grain,26,32,20,0.6,33
Macaroni,12,31,18,0.6,18
Noodles,13,26,14,0.5,17
Ramen ® Noodles,10,25,15,0.6,22
Spaghetti,19,33,17,0.6,21
"baked, w/ skin, mashed Potatoes",25,26,18,0.4,26
"boiled, no skin, mashed Potatoes",31,30,21,0.5,32
"canned, packed in syrup Potatoes",49,26,18,0.4,67
"baked, no skin Potatoes",30,31,26,0.7,33
no skin Potatoes,39,30,25,0.7,34
Potatoes w/ skin,40,32,28,0.8,34
canned Potatoes,45,28,24,0.3,27
"French fries (1/2"" x 1/2"" x 2"")",20,32,19,0.7,64
"hash browns, frozen/cooked",20,26,15,0.6,43
"microwaved, w/ skin Potatoes",29,27,23,0.6,29
pan fried Potatoes,29,30,18,0.7,61
Tater Tots ®,37,33,19,0.8,61
"Yams, baked or boiled",42,29,17,0.6,49
Chocolate sauce (Hershey's ®),20,25,18,0.5,49
Chow mein noodles,7,35,21,0.8,38
"Flour, cake",8,31,19,0.6,30
"Jell-O ®, w/ sugar",80,30,3,0.6,65
Barnum's Animal Crackers ®,10,34,21,0.7,45
fig bar,16,33,21,0.6,57
Ho Ho's ®,14,27,17,0.6,60
Oreo ®,11,24,15,0.5,53
Social Tea Biscuit ®,11,28,17,0.6,48
Sugar Wafer (Nabisco ®),17,30,18,0.7,80
vanilla wafer,12,32,19,0.6,55
"Goldfish ®, original",9,29,19,0.6,44
"graham cracker (2"" x 2"")",7,28,17,0.6,27
Ritz ®,10,32,19,0.7,50
Ritz Bits ® (cheese),6,28,18,0.5,28
Rye Thins ®,8,27,12,0.6,39
Rykrisp ®,6,30,21,0.6,23
saltine,6,27,16,0.5,26
soda,7,35,19,0.7,30
Waverly ®,7,24,15,0.5,35
Wheat Thins ®,9,31,19,0.7,43
Doodads ®,7,34,22,0.8,35
Doritos®,9,28,17,0.7,44
"Doughnuts, Ener-G® Banana",84,31,10,0.8,309
Fritos®,10,30,22,0.7,55
"Ice cream cone, wafer type",4,22,13,0.4,17
Buttered Popcorn,6,31,26,0.6,27
Caramel Popcorn,9,28,23,0.5,34
Plain Popcorn,4,26,22,0.5,15
"Potato chips (2"" diameter)",10,29,24,0.6,52
Rice cakes,9,34,45,0.8,35
Tortilla chips,8,36,29,0.7,27
"Corn Tortilla (6"" diameter)",8,36,29,0.7,27
"Flour Tortilla (6"" diameter)",8,33,19,0.7,27
"Butter, stick",14,6,6,0.1,101
"Gravy mushroom, canned",10,6,4,0.1,5
"Gravy mushroom mix, dry",1,4,3,0.1,3
"Gravy onion mix, dry",1,5,3,0.1,3
Margarine liquid,5,4,4,0.1,34
Margarine soft,14,5,5,0.1,102
