Meal,Serving Size (g),Ingredient,Grams,Number of Ingredients,Meal Type
Scottish Neeps & Tatties,375,raw turnip,150,4,LD
,,Potatoes,200,,
,,"butter, stick",20,,
,,Chives,5,,
Irish Colcannon (PKU-friendly),450,Potatoes,250,5,LD
,,Green Cabbage,100,,
,,"butter, stick",20,,
,,Spring onions,30,,
,,Oat milk,50,,
Leek & Potatoes Soup,720,Leek,120,5,LD
,,Potatoes,180,,
,,"butter, stick",15,,
,,Vegetable broth,400,,
,,Parsley,5,,
Scottish Oatcakes (Low-Protein Mix),268,flour,150,5,BS
,,"butter, stick",50,,
,,Oat fiber,15,,
,,Water,50,,
,,Salt,3,,
Irish Root Veggie Stew,933,Carrots,100,6,LD
,,"Parsnip, raw",100,,
,,Potatoes,150,,
,,Onion,80,,
,,Vegetable broth,500,,
,,,3,,
Scottish Raspberry Cranachan,253,oat,50,5,BS
,,Coconut cream,100,,
,,raspberries raw,80,,
,,Maple syrup,20,,
,,Lemon zest,3,,
Irish Apple Mash,410,Green apple,150,4,BS
,,Potatoes,200,,
,,"butter, stick",20,,
,,Oat milk,40,,
Irish Carrots & Ginger Soup,805,Carrots,200,5,LD
,,Onion,80,,
,,Raw Ginger (Fresh),10,,
,,vegetable broth,500,,
,,"butter, stick",15,,
Sweet Leek Mash,420,Leek,150,4,LD
,,Potatoes,200,,
,,"butter, stick",20,,
,,Oat milk,50,,
Irish Vegetable Boxty,370,Potatoes,200,4,LD
,,Carrots,100,,
,,flour,50,,
,,"butter, stick",20,,
Scottish Barley-Free Veggie Broth,440,Leek,100,5,LD
,,Carrots,100,,
,,raw turnip,100,,
,,Vegetable broth,130,,
,,Parsley,10,,
Irish Honey-Glazed Carrotss,290,Carrots,200,5,LD
,,Honey,30,,
,,"butter, stick",20,,
,,Thyme Fresh,5,,
,,Lemon juice,35,,
Crispy Green Cabbage and Onion Cakes,310,Green Cabbage,150,4,LD
,,Onion,100,,
,,flour,40,,
,,"butter, stick",20,,
Herb Roasted raw turnips,290,raw turnip,220,5,LD
,,Olive oil,30,,
,,Rosemary,5,,
,,Garlic,10,,
,,Lemon zest,5,,
Irish Sweet Potatoes Mash,370,Sweet Potatoes,300,3,LD
,,"butter, stick",30,,
,,Oat milk,40,,
Simple Scottish Pea Soup,410,Green peas,200,4,LD
,,Leek,80,,
,,Potatoes,100,,
,,Vegetable broth,30,,
"Carrots and Parsnip, raw Mash",360,"Parsnip, raw",180,4,LD
,,Carrots,150,,
,,"butter, stick",20,,
,,Oat milk,10,,
Oven-Roasted Swede Wedges,350,raw turnip,250,5,LD
,,Olive oil,30,,
,,Smoked paprika,5,,
,,Garlic powder,5,,
,,parsley,10,,
Irish Herbed Potatoes Wedges,400,Potatoes,300,5,LD
,,Olive oil,40,,
,,rosemary,10,,
,,Garlic powder,10,,
,,Chives,40,,
Scottish Honey-Braised Green Cabbage,380,Green Cabbage,250,5,LD
,,Honey,30,,
,,Apple cider vinegar,30,,
,,"butter, stick",20,,
,,dill,50,,
Creamy Leek and Carrots Mix,340,Leek,150,4,LD
,,Carrots,150,,
,,Oat milk,30,,
,,"butter, stick",10,,
Irish Mustard Mashed raw turnips,330,raw turnip,250,4,LD
,,"butter, stick",30,,
,,Oat milk,40,,
,,Mustard,10,,
Pan-Fried Zucchini Fritters,320,Zucchini,180,4,LD
,,flour,80,,
,,"butter, stick",30,,
,,Chives,30,,
Stewed Rhubarb & Apples,330,Rhubarb,200,4,BS
,,Green apple,100,,
,,Sugar,20,,
,,Lemon juice,10,,
