Ingredient,PHE(mg),Protein(g),Energy(kcal),Serving_Size(g)
Acorn squash, baked, cubed,17.0,0.4,21.0,38.0
Acorn squash, boiled, mashed,16.0,0.4,20.0,61.0
African eggplants,0.0,0.0,0.0,300.0
Agaricus bisporus mushrooms, cooked,15.0,0.4,5.0,19.0
Agaricus bisporus mushrooms, raw,15.0,0.4,5.0,18.0
All Bran,29.0,0.8,13.0,5.0
Ground Allspice,0.0,6.1,263,100.0
Allspice Berries,37.0,0.75,26.0,10.0
Alpha-Bits,29.0,0.5,28.0,7.0
Animal crackers, cinnamon graham,29.0,0.6,45.0,10.0
Apple,6,0.26,52,100.0
Apple Jacks,26.0,0.5,36.0,9.0
Apple butter,0.0,0.0,,100.0
Apple chips (Nature's Favorite ®),6.0,0.2,60.0,15.0
Apple cider vinegar,0.0,0.0,0.0,100.0
Apple cinnamon cookies,31.0,0.8,43.0,10.0
Apple fruit pie filling,4.0,0.1,135.0,123.0
Apple juice,5.0,0.2,109.0,218.0
Apple juice, canned,2.0,0.1,60.0,124.0
Apple/banana juice,5.0,0.2,50.0,93.0
Apple/blueberry,5.0,0.2,42.0,83.0
Apple/carrot,15.0,0.2,89.0,214.0
Apple/cherry juice,5.0,0.3,62.0,124.0
Apple/cranberry juice,5.0,0.2,46.0,93.0
Apple/grape juice,5.0,0.2,112.0,218.0
Apple/mango/kiwi,5.0,0.1,60.0,100.0
Apple/prune juice,5.0,0.3,69.0,124.0
Apple/strawberry,5.0,0.1,60.0,100.0
Apple/sweet potato,15.0,0.4,62.0,125.0
Apples,0.0,0.0,0.0,100.0
Applesauce,5.0,0.2,48.0,86.0
Applesauce/apricot,15.0,0.3,52.0,100.0
Apricot nectar, canned,15.0,0.3,53.0,94.0
Apricot/mixed fruit,15.0,0.4,45.0,75.0
Artichoke hearts,60.0,3.3,47.0,100.0
Artichokes,0.0,0.0,0.0,100.0
Arugula,0.0,0.0,0.0,100.0
Asparagus canned green,15.0,0.6,6.0,30.0
Asparagus canned white,19.0,0.6,7.0,38.0
Asparagus fresh or frozen, cooked,16.0,0.6,6.0,22.0
Asparagus raw,0.0,0.0,0.0,1443.0
Asparagus, Cream of,16.0,0.4,15.0,21.0
Avocado,0.0,0.0,0.0,250.0
Avocado Oil,0.0,0.0,0.0,100.0
