ingredient_name,phe_mg_per_100g,protein_g_per_100g,energy_kcal_per_100g,usda_name,source,phe_estimated,usda_match,usda_data_type,match_type
allspice,304.5,6.09,262.667594,"spices, allspice, ground",USDA,True,"Spices, allspice, ground",SR Legacy,
allspice berries,304.5,6.09,262.667594,"spices, allspice, ground",USDA,True,"Spices, allspice, ground",SR Legacy,
almond,1035.0,20.7,641.0,almond butter,USDA,True,Almond butter,Survey (FNDDS),
apple,67.0,1.34,134.0,"apple, candied",USDA,True,"Apple, candied",Survey (FNDDS),
apple cider vinegar,0.0,0.0,20.0,apple cider vinegar,Nutritional_Data.csv,False,,,exact
apples,0.0,0.0,47.794117647058826,apples,Nutritional_Data.csv,False,,,exact
apples cider vinegar,0.0,0.0,21.51054,"vinegar, cider",USDA,False,"Vinegar, cider",SR Legacy,
apricot,0.052,1.4,48.040206,"apricots, raw",USDA,False,"Apricots, raw",SR Legacy,
artichoke,100.0,2.0,72.657824,"jerusalem-artichokes, raw",USDA,True,"Jerusalem-artichokes, raw",SR Legacy,
artichoke hearts,0.0,0.0,47.0,artichoke hearts,Nutritional_Data.csv,False,,,exact
artichokes,100.0,2.0,72.657824,"jerusalem-artichokes, raw",USDA,True,"Jerusalem-artichokes, raw",SR Legacy,
arugula,129.0,2.58,25.09563,"arugula, raw",USDA,True,"Arugula, raw",SR Legacy,
asparagus raw,0.075,2.2,20.31551,"asparagus, raw",USDA,False,"Asparagus, raw",SR Legacy,
avocado,0.0,0.0,884.0831939999999,"oil, avocado",USDA,False,"Oil, avocado",SR Legacy,
avocado oil,0.0,0.0,900.0,avocado oil,Nutritional_Data.csv,False,,,exact
"avocados, all varieties, mashed",0.097,2.0,160.13402,"avocados, raw, all commercial varieties",USDA,False,"Avocados, raw, all commercial varieties",SR Legacy,
baby bok choy,51.1875,1.02375,0.0,"cabbage, bok choy, raw",USDA,True,"Cabbage, bok choy, raw",Foundation,
baked onions,0.025,1.1,39.674996,"onions, raw",USDA,False,"Onions, raw",SR Legacy,
baker's yeast,0.407,8.4,104.92363399999999,"leavening agents, yeast, baker's, compressed",USDA,False,"Leavening agents, yeast, baker's, compressed",SR Legacy,
balsamic vinegar,0.0,0.0,87.5,balsamic vinegar,Nutritional_Data.csv,False,,,exact
bamboo shoots,0.09,2.6,27.485689999999998,"bamboo shoots, raw",USDA,False,"Bamboo shoots, raw",SR Legacy,
baobab fruit powder,184.5,3.69,249.76127,baobab powder,USDA,True,Baobab powder,SR Legacy,
baobab leaves,184.5,3.69,249.76127,baobab powder,USDA,True,Baobab powder,SR Legacy,
basil,0.13,3.15,22.466563999999998,"basil, fresh",USDA,False,"Basil, fresh",SR Legacy,
basmati rice (cooked),0.095,1.79,108.508724,"rice noodles, cooked",USDA,False,"Rice noodles, cooked",SR Legacy,
bay leaf,380.5,7.61,313.575872,"spices, bay leaf",USDA,True,"Spices, bay leaf",SR Legacy,
bean sprouts,0.0,0.0,31.0,bean sprouts,Nutritional_Data.csv,False,,,exact
beans (low protein option),0.356,6.03,90.82227999999999,"beans, black, mature seeds, canned, low sodium",USDA,False,"Beans, black, mature seeds, canned, low sodium",SR Legacy,
beet,84.375,1.6875,0.0,"beets, raw",USDA,True,"Beets, raw",Foundation,
beet root,84.375,1.6875,0.0,"beets, raw",USDA,True,"Beets, raw",Foundation,
bell pepper,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
bell peppers,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
black pepper,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
black pepper (ground),0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
