cuisine,meal,full_name,ingredients,weights_g
African Foods,Ugali (Maize porridge),Ugali (Maize porridge) (African Foods),Low-protein flour|Water,320.0|30.0
African Foods,Plantain Fufu,Plantain Fufu (African Foods),Plantains|Water,320.0|30.0
African Foods,Cassava Fufu,Cassava Fufu (African Foods),Low-protein flour|Water,320.0|30.0
African Foods,Matoke (boiled green Bananas),Matoke (boiled green Bananas) (African Foods),Green Bananas|Water,320.0|30.0
African Foods,Sweet Potato Porridge,Sweet Potato Porridge (African Foods),Sweet potatoes|Water,320.0|30.0
African Foods,Boiled Cassava,Boiled Cassava (African Foods),Cassava root|Salt,280.0|20.0
African Foods,Boiled Plantains,Boiled Plantains (African Foods),Plantains|Salt,280.0|20.0
African Foods,Roasted Corn,Roasted Corn (African Foods),Corn|Salt,230.0|20.0
African Foods,Steamed Vegetables,Steamed Vegetables (African Foods),Mixed vegetables|Olive oil,270.0|30.0
African Foods,Kachumbari (fresh salad),Kachumbari (fresh salad) (African Foods),Tomatoes|Onions|Cilantro|Lemon juice,120.0|50.0|40.0|40.0
African Foods,Avocado Salad,Avocado Salad (African Foods),Avocado|Tomato|Onion,200.0|30.0|20.0
African Foods,Okra Stew (without meat),Okra Stew (without meat) (African Foods),Okra|Tomatoes|Onion|Palm oil,250.0|50.0|30.0|20.0
African Foods,Pumpkin Leaves Stew,Pumpkin Leaves Stew (African Foods),Pumpkin leaves|Tomatoes|Onion|Palm oil,250.0|50.0|30.0|20.0
African Foods,Baobab Leaf Stew ,Baobab Leaf Stew  (African Foods),Baobab leaves|Tomato|Onion,250.0|50.0|50.0
African Foods,Coconut Rice,Coconut Rice (African Foods),Rice|Coconut milk|Water,250.0|70.0|30.0
African Foods,Fried Plantains,Fried Plantains (African Foods),Plantains|Oil,270.0|30.0
African Foods,Sweet Potato Chips,Sweet Potato Chips (African Foods),Sweet potatoes|Oil,180.0|20.0
African Foods,Boiled Yam,Boiled Yam (African Foods),Yam|Salt,280.0|20.0
African Foods,Boiled Sweet Potatoes,Boiled Sweet Potatoes (African Foods),Sweet potatoes|Salt,280.0|20.0
African Foods,Baked Plantains,Baked Plantains (African Foods),Plantains|Oil,280.0|20.0
African Foods,Boiled Cassava Leaves,Boiled Cassava Leaves (African Foods),Cassava leaves|Oil,300.0|50.0
African Foods,Tomato and Cucumber Salad,Tomato and Cucumber Salad (African Foods),Tomatoes|Cucumbers|Lemon juice,120.0|100.0|30.0
African Foods,Steamed Okra,Steamed Okra (African Foods),Okra|Olive oil,270.0|30.0
African Foods,Pumpkin Porridge,Pumpkin Porridge (African Foods),Pumpkin|Water,320.0|30.0
African Foods,Fried Cassava,Fried Cassava (African Foods),Cassava|Oil,270.0|30.0
African Foods,Vegetable Stir Fry,Vegetable Stir Fry (African Foods),Mixed vegetables|Oil,320.0|30.0
African Foods,Garden Egg Stew (without meat),Garden Egg Stew (without meat) (African Foods),Eggs|Tomatoes|Onion|Oil,300.0|30.0|20.0|30.0
African Foods,Okra and Tomato Salad,Okra and Tomato Salad (African Foods),Okra|Tomatoes|Olive oil,150.0|70.0|30.0
African Foods,Fried Sweet Potato Balls,Fried Sweet Potato Balls (African Foods),Sweet potatoes|Oil,180.0|20.0
African Foods,Boiled Green Bananas,Boiled Green Bananas (African Foods),Green Bananas|Salt,280.0|20.0
African Foods,Millet Couscous,Millet Couscous (African Foods),Millet flour|Water,320.0|30.0
African Foods,Roasted Pumpkin,Roasted Pumpkin (African Foods),Pumpkin|Oil,270.0|30.0
African Foods,Boiled Taro,Boiled Taro (African Foods),Taro root|Salt,280.0|20.0
African Foods,Grilled Plantains,Grilled Plantains (African Foods),Plantains|Oil,280.0|20.0
African Foods,Roasted Sweet Potatoes,Roasted Sweet Potatoes (African Foods),Sweet potatoes|Oil|Sweet potatoes|Olive oil,270.0|30.0|270.0|30.0
African Foods,Boiled Pumpkin Leaves,Boiled Pumpkin Leaves (African Foods),Pumpkin leaves|Oil|Olive oil,300.0|50.0|30.0
African Foods,Fried Sweet Potato Chips,Fried Sweet Potato Chips (African Foods),Sweet potatoes|Oil,180.0|20.0
African Foods,Yam Porridge,Yam Porridge (African Foods),Yam|Water,320.0|30.0
African Foods,Baobab Fruit Drink,Baobab Fruit Drink (African Foods),Baobab fruit powder|Water,50.0|250.0
African Foods,Tamarind Juice,Tamarind Juice (African Foods),Tamarind pulp|Water,50.0|250.0
African Foods,Watermelon Salad,Watermelon Salad (African Foods),Watermelon|Mint leaves|Lime juice,200.0|30.0|20.0
African Foods,Baobab Leaf Stew (no meat),Baobab Leaf Stew (no meat) (African Foods),Baobab leaves|Onion|Palm oil,250.0|50.0|50.0
African Foods,Roasted Yam,Roasted Yam (African Foods),Yam|Oil,280.0|20.0
African Foods,Steamed Waterleaf,Steamed Waterleaf (African Foods),Waterleaf|Oil,270.0|30.0
African Foods,Cassava Leaf Soup (no meat),Cassava Leaf Soup (no meat) (African Foods),Cassava leaves|Tomatoes|Onion|Palm oil,250.0|50.0|30.0|20.0
African Foods,Baobab Fruit Smoothie,Baobab Fruit Smoothie (African Foods),Baobab fruit powder|Bananass|Water,40.0|150.0|110.0
African Foods,Sweet Potato Leaves Soup,Sweet Potato Leaves Soup (African Foods),Sweet potato leaves|Tomato|Onion|Palm oil|Yeast,250.0|50.0|30.0|20.0|10.0
African Foods,Okra Salad,Okra Salad (African Foods),Okra|Tomato|Olive oil,150.0|50.0|30.0
African Foods,Baobab Leaf Salad,Baobab Leaf Salad (African Foods),Baobab leaves|Lemon juice|Olive oil,180.0|30.0|20.0
African Foods,Millet Stew (without meat),Millet Stew (without meat) (African Foods),Low-protein flour|Tomato|Water,320.0|20.0|10.0
African Foods,Roasted Garden Eggplant,Roasted Garden Eggplant (African Foods),African eggplants|Olive oil,270.0|30.0
African Foods,Flatbread,Flatbread (African Foods),Low-protein flour|Water|Salt,220.0|20.0|10.0
African Foods,Mashed Pumpkin,Mashed Pumpkin (African Foods),Pumpkin|Olive oil,280.0|20.0
African Foods,Cooked Waterleaf,Cooked Waterleaf (African Foods),Waterleaf|Palm oil,270.0|30.0
African Foods,Boiled Sweet Cassava,Boiled Sweet Cassava (African Foods),Cassava|Salt,280.0|20.0
African Foods,Okra and Tomato Soup,Okra and Tomato Soup (African Foods),Okra|Tomato|Onion|Palm oil,250.0|50.0|30.0|20.0
African Foods,Steamed Green Beans,Steamed Green Beans (African Foods),Green beans|Olive oil,270.0|30.0
African Foods,Baobab Leaf Juice,Baobab Leaf Juice (African Foods),Baobab leaves|Water|Lemon juice,200.0|80.0|20.0
African Foods,Rice and Beans (low-protein beans or substituted),Rice and Beans (low-protein beans or substituted) (African Foods),Low-protein beans|Rice|Tomatoes|Oil,150.0|150.0|30.0|20.0
African Foods,Ugali with Vegetable Stew,Ugali with Vegetable Stew (African Foods),Low-protein flour|Mixed vegetables|Tomato|Onion|Oil,200.0|100.0|20.0|20.0|10.0
