algorithm,K,alpha,f1,precision,recall,n_users
content_based_selected,5,,7.8145891512228145,6.138613861386139,12.905469118340406,101
collaborative_selected,5,,13.26881131336577,11.617161716171614,19.95035217807495,101
content_based_selected,10,,11.420403837410245,7.648907747917648,28.46577514894346,101
collaborative_selected,10,,13.143169750241448,9.585101367279586,27.526788393125027,101
content_based_selected,15,,10.702753297684986,6.676414894236676,35.67542468532567,101
collaborative_selected,15,,13.541204264832835,9.375657345954375,33.216785964310716,101
content_based_selected,20,,9.930695380312603,6.020536336456086,39.176774820339176,101
collaborative_selected,20,,13.849046250905042,9.420930449116087,36.72463674938923,101
hybrid_selected,5,0.3,12.761117686860263,11.089108910891088,19.752332376094753,101
hybrid_selected,5,0.4,12.23070750298473,10.693069306930692,18.92724986784393,101
hybrid_selected,5,0.5,11.20719031610121,9.306930693069306,18.14692183504065,101
hybrid_selected,5,0.6,10.031382259105031,7.920792079207921,16.486327204148985,101
hybrid_selected,5,0.7,9.096288749754097,7.12871287128713,15.331211692597831,101
hybrid_selected,10,0.3,13.089514297940866,9.233066163759233,29.741581300987242,101
hybrid_selected,10,0.4,12.367839108443897,8.639006757818638,28.722979440801222,101
hybrid_selected,10,0.5,13.169676811011147,9.035046361779035,32.059063049162056,101
hybrid_selected,10,0.6,11.724926409389827,7.9459374508879455,28.9995785292815,101
hybrid_selected,10,0.7,11.407366819422734,7.648907747917649,28.019480519480517,101
hybrid_selected,15,0.3,12.990479306649947,8.387871754208389,39.42304944780193,101
hybrid_selected,15,0.4,12.331165660286619,7.925825549587925,37.95865300815796,101
hybrid_selected,15,0.5,12.33278010180609,7.859818948927859,38.71397854071121,101
hybrid_selected,15,0.6,11.727101376105345,7.397772744307398,37.686125755432684,101
hybrid_selected,15,0.7,10.853402084878544,6.808428095556808,35.46840398325546,101
hybrid_selected,20,0.3,12.578211501082356,7.78968693572654,46.28009229494378,101
hybrid_selected,20,0.4,12.111966005231094,7.4431522822611935,45.971382852570976,101
hybrid_selected,20,0.5,11.684468272509735,7.146122579290895,45.313067020987816,101
hybrid_selected,20,0.6,11.132723516522164,6.7552940227510305,44.02118783306902,101
hybrid_selected,20,0.7,10.337171517324462,6.268061088931333,40.887445887445885,101
